protein_id,dG_H2O,m,Cm,survival_floor
prot_000000,7.28747258267156,1.480236171387941,4.923182343151683,3.758812758088971e-05
prot_000001,3.266541277024628,1.0987481193617545,2.9729664328546113,8.084115303467279e-05
prot_000002,8.30317503893659,1.2910708699407478,6.431231028640322,2.6786325023557287e-05
prot_000003,6.368416348712367,1.2322642652038192,5.16806056017458,2.765710447015903e-05
prot_000004,-0.8698718253482056,1.1494421065642675,-0.7567774143478094,4.7056218455301454e-05
prot_000005,9.707468219641072,1.4099589388209772,6.884929732605236,3.8578985865669295e-05
prot_000006,7.133676423884236,0.8376678706178993,8.516115603935166,6.818302802294297e-05
prot_000007,7.432771663323446,1.314392445503178,5.654910516834278,9.011503295600574e-05
prot_000008,-0.4626364078934495,1.3749457029170307,-0.33647612913872765,2.2479451465770976e-05
prot_000009,3.4046312547468056,1.066750303228038,3.191591550941421,5.920794342544923e-05
prot_000010,2.449576290790975,1.8948050948277597,1.2927853621871566,1.795606459418025e-05
prot_000011,9.121179866183223,1.2430655689018737,7.337649834707343,2.9934406905651543e-05
prot_000012,5.726381440967975,1.335058869826464,4.2892351568828655,3.7819139175582685e-05
prot_000013,7.87313935924996,1.2436223907666624,6.330811842649733,6.211926511720578e-05
prot_000014,3.3209703859279736,1.377346762324166,2.411136016557002,5.9939109302776665e-05
prot_000015,0.7268646614173226,1.8186619807859603,0.3996700151521273,6.78759626511807e-05
prot_000016,4.655017444190017,2.2957862958520154,2.027635347680495,8.370157755049645e-05
prot_000017,-1.2341929267498961,1.6251499319832956,-0.7594332697929694,2.685068903146877e-05
prot_000018,7.931574063910984,1.7403234556736051,4.557528681265179,7.690442297147242e-05
prot_000019,5.579972789464778,1.9733995845513903,2.8275939820536973,7.003188594499543e-05
prot_000020,7.097052881024486,1.4714472672159926,4.823178539352111,1.7173993143276896e-05
prot_000021,2.2543116175584204,1.9165417907061835,1.1762392182055053,4.1022578804740446e-05
prot_000022,9.648376292738838,1.640420256708679,5.881649079423851,1.2492941399350684e-05
prot_000023,8.717453455866373,1.4409025793959802,6.049995038193831,1.811659435670054e-05
prot_000024,7.340601964885142,1.501613870675634,4.8884750655521865,3.5540812005099474e-05
prot_000025,0.3356644942236109,0.9725720137988468,0.34513073526813925,3.1880454799091704e-05
prot_000026,3.60065204472441,1.4842299546590205,2.4259394802145775,9.101563924949131e-05
prot_000027,-1.4743548105532547,1.028110583280318,-1.4340430246804168,9.044097065873234e-05
prot_000028,-0.14852609518942606,1.0114838451320791,-0.14683980955724665,6.200807658190167e-05
prot_000029,6.1965874389094555,1.455061218670919,4.258643800959479,7.615320031774944e-05
prot_000030,6.937145870893806,1.1203672323391203,6.191850020827835,9.996411818194772e-05
prot_000031,9.61011678921052,1.398009565916116,6.874142368913627,4.691734280177759e-05
